Year,Quater,total_transacion_amount
2018,1,4467669206449.262
2018,2,7913729503348.514
2018,3,12352639145992.383
2018,4,17465142450971.281
2019,1,25740555414878.844
2019,2,35209564964404.69
2019,3,43486533770171.125
2019,4,58757237313457.49
2020,1,70124924422913.31
2020,2,68799772807284.555
2020,3,101453377905480.36
2020,4,140292136293905.27
2021,1,163390329920884.56
2021,2,194388115132036.94
2021,3,239634098287182.7
2021,4,302153648526225.44
2022,1,344230392467842.0
2022,2,403108848701495.3
2022,3,431798313046801.6
2022,4,491787101467396.2
2023,1,533362908403182.0
2023,2,595880851585240.0
2023,3,624315472959724.0
2023,4,703227915429000.0
2024,1,765919281131992.0
2024,2,827329124074206.0
2024,3,841021158388060.0
2024,4,935968822999522.0
