Year,Transacion_type,total_transacion_amount
2018,Others,517993350627.79474
2018,Recharge & bill payments,2853912933590.6216
2018,Peer-to-peer payments,37257064596303.84
2018,Financial Services,97574799240.15614
2018,Merchant payments,1472634626998.8977
2019,Financial Services,60255162669.53477
2019,Recharge & bill payments,9105271768987.77
2019,Merchant payments,10697445829688.654
2019,Peer-to-peer payments,142707684781011.34
2019,Others,623233920555.4742
2020,Peer-to-peer payments,320476537547144.6
2020,Others,369648287439.0513
2020,Merchant payments,40257550395496.42
2020,Recharge & bill payments,19346572057635.12
2020,Financial Services,219903141867.39166
2021,Others,708284126103.3765
2021,Peer-to-peer payments,727145353854200.6
2021,Merchant payments,137040648616500.67
2021,Recharge & bill payments,34248184802412.555
2021,Financial Services,423720467109.45386
2022,Merchant payments,310571955637211.3
2022,Peer-to-peer payments,1301193135797828.2
2022,Recharge & bill payments,57913994583209.695
2022,Others,759744649540.9675
2022,Financial Services,485825015746.9421
2023,Peer-to-peer payments,1885616824481728.0
2023,Merchant payments,471388672563458.0
2023,Recharge & bill payments,98277060256856.0
2023,Others,709295998736.0
2023,Financial Services,795295076368.0
2024,Financial Services,1609914283848.0
2024,Others,843096878390.0
2024,Merchant payments,727407896273708.0
2024,Peer-to-peer payments,2515314732193302.0
2024,Recharge & bill payments,125062746964532.0
