State,Total_Registered_Users
nagaland,512716410.0
chhattisgarh,12305882826.0
punjab,15043081878.0
gujarat,40796419428.0
jammu-&-kashmir,3264962580.0
goa,1545896268.0
arunachal-pradesh,649838628.0
kerala,17484909030.0
delhi,29905172730.0
tamil-nadu,43976466936.0
puducherry,916866684.0
haryana,27445516578.0
lakshadweep,11773386.0
dadra-&-nagar-haveli-&-daman-&-diu,882816930.0
assam,9119815686.0
maharashtra,101895990354.0
uttar-pradesh,81036548568.0
manipur,795247578.0
odisha,25844605470.0
tripura,1203512886.0
uttarakhand,7713754650.0
karnataka,65653236648.0
andaman-&-nicobar-islands,145384650.0
chandigarh,1191803202.0
jharkhand,14664670128.0
andhra-pradesh,50596118568.0
himachal-pradesh,4390527330.0
rajasthan,48820146714.0
madhya-pradesh,40991185512.0
west-bengal,46552717944.0
mizoram,216011718.0
telangana,47586564900.0
ladakh,192189762.0
bihar,38137985676.0
meghalaya,499350996.0
sikkim,424388772.0
